code3,country,region,year,visa_free_count
DEU,Germany,EUROPE,2021,190.0
DEU,Germany,EUROPE,2022,190.0
DJI,Djibouti,AFRICA,2020,47.0
DJI,Djibouti,AFRICA,2021,47.0
DJI,Djibouti,AFRICA,2022,47.0
DMA,Dominica,CARIBBEAN,2020,141.0
DMA,Dominica,CARIBBEAN,2021,143.0
DMA,Dominica,CARIBBEAN,2022,144.0
DNK,Denmark,EUROPE,2020,187.0
DNK,Denmark,EUROPE,2021,188.0
DNK,Denmark,EUROPE,2022,188.0
DOM,Dominican Republic,CARIBBEAN,2020,66.0
DOM,Dominican Republic,CARIBBEAN,2021,69.0
DOM,Dominican Republic,CARIBBEAN,2022,70.0
DZA,Algeria,AFRICA,2020,51.0
DZA,Algeria,AFRICA,2021,52.0
DZA,Algeria,AFRICA,2022,52.0
ECU,Ecuador,AMERICAS,2020,91.0
ECU,Ecuador,AMERICAS,2021,91.0
ECU,Ecuador,AMERICAS,2022,91.0
EGY,Egypt,AFRICA,2020,50.0
EGY,Egypt,AFRICA,2021,51.0
EGY,Egypt,AFRICA,2022,52.0
ERI,Eritrea,AFRICA,2020,42.0
ERI,Eritrea,AFRICA,2021,43.0
ERI,Eritrea,AFRICA,2022,43.0
ESP,Spain,EUROPE,2020,188.0
ESP,Spain,EUROPE,2021,189.0
ESP,Spain,EUROPE,2022,189.0
EST,Estonia,EUROPE,2020,179.0
EST,Estonia,EUROPE,2021,181.0
EST,Estonia,EUROPE,2022,181.0
ETH,Ethiopia,AFRICA,2020,44.0
ETH,Ethiopia,AFRICA,2021,45.0
ETH,Ethiopia,AFRICA,2022,45.0
FIN,Finland,EUROPE,2020,188.0
FIN,Finland,EUROPE,2021,189.0
FIN,Finland,EUROPE,2022,189.0
FJI,Fiji,OCEANIA,2020,88.0
FJI,Fiji,OCEANIA,2021,88.0
FJI,Fiji,OCEANIA,2022,88.0
FRA,France,EUROPE,2020,186.0
FRA,France,EUROPE,2021,187.0
FRA,France,EUROPE,2022,188.0
FSM,Micronesia,OCEANIA,2020,118.0
FSM,Micronesia,OCEANIA,2021,117.0
FSM,Micronesia,OCEANIA,2022,117.0
GAB,Gabon,AFRICA,2020,57.0
GAB,Gabon,AFRICA,2021,57.0
GAB,Gabon,AFRICA,2022,57.0
GBR,United Kingdom,EUROPE,2020,185.0
GBR,United Kingdom,EUROPE,2021,185.0
GBR,United Kingdom,EUROPE,2022,186.0
GEO,Georgia,EUROPE,2020,115.0
GEO,Georgia,EUROPE,2021,115.0
GEO,Georgia,EUROPE,2022,115.0
GHA,Ghana,AFRICA,2020,65.0
GHA,Ghana,AFRICA,2021,64.0
GHA,Ghana,AFRICA,2022,64.0
GIN,Guinea,AFRICA,2020,55.0
GIN,Guinea,AFRICA,2021,54.0
GIN,Guinea,AFRICA,2022,54.0
GMB,The Gambia,AFRICA,2020,68.0
GMB,The Gambia,AFRICA,2021,68.0
GMB,The Gambia,AFRICA,2022,68.0
GNB,Guinea-Bissau,AFRICA,2020,53.0
GNB,Guinea-Bissau,AFRICA,2021,52.0
GNB,Guinea-Bissau,AFRICA,2022,52.0
GNQ,Equatorial Guinea,AFRICA,2020,55.0
GNQ,Equatorial Guinea,AFRICA,2021,55.0
GNQ,Equatorial Guinea,AFRICA,2022,55.0
GRC,Greece,EUROPE,2020,184.0
GRC,Greece,EUROPE,2021,185.0
GRC,Greece,EUROPE,2022,185.0
GRD,Grenada,CARIBBEAN,2020,144.0
GRD,Grenada,CARIBBEAN,2021,144.0
GRD,Grenada,CARIBBEAN,2022,144.0
GTM,Guatemala,AMERICAS,2020,133.0
GTM,Guatemala,AMERICAS,2021,132.0
GTM,Guatemala,AMERICAS,2022,133.0
GUY,Guyana,AMERICAS,2020,88.0
GUY,Guyana,AMERICAS,2021,87.0
GUY,Guyana,AMERICAS,2022,87.0
HKG,Hong Kong (SAR China),ASIA,2020,170.0
HKG,Hong Kong (SAR China),ASIA,2021,171.0
HKG,Hong Kong (SAR China),ASIA,2022,171.0
HND,Honduras,AMERICAS,2020,134.0
HND,Honduras,AMERICAS,2021,132.0
HND,Honduras,AMERICAS,2022,133.0
HRV,Croatia,EUROPE,2020,171.0
HRV,Croatia,EUROPE,2021,172.0
HRV,Croatia,EUROPE,2022,173.0
HTI,Haiti,CARIBBEAN,2020,49.0
HTI,Haiti,CARIBBEAN,2021,48.0
HTI,Haiti,CARIBBEAN,2022,48.0
HUN,Hungary,EUROPE,2020,182.0
HUN,Hungary,EUROPE,2021,183.0
HUN,Hungary,EUROPE,2022,183.0
IDN,Indonesia,ASIA,2020,71.0
IDN,Indonesia,ASIA,2021,71.0
IDN,Indonesia,ASIA,2022,71.0
IND,India,ASIA,2020,58.0
IND,India,ASIA,2021,58.0
IND,India,ASIA,2022,60.0
IRL,Ireland,EUROPE,2020,186.0
IRL,Ireland,EUROPE,2021,187.0
