code3,country,region,year,max_delta,max_abs_delta,vfc_end,vfc_start,ov_delta,ov_abs_delta
HKG,Hong Kong (SAR China),ASIA,2018,18.0,18.0,171.0,110.0,61.0,61.0
HND,Honduras,AMERICAS,2018,17.0,17.0,132.0,80.0,52.0,52.0
HRV,Croatia,EUROPE,2018,16.0,16.0,172.0,84.0,88.0,88.0
HTI,Haiti,CARIBBEAN,2007,7.0,7.0,48.0,22.0,26.0,26.0
HUN,Hungary,EUROPE,2007,15.0,15.0,183.0,101.0,82.0,82.0
IDN,Indonesia,ASIA,2018,16.0,16.0,71.0,29.0,42.0,42.0
IND,India,ASIA,2018,11.0,11.0,58.0,25.0,33.0,33.0
IRL,Ireland,EUROPE,2007,13.5,13.5,187.0,129.0,58.0,58.0
IRN,Iran,MIDDLE EAST,2007,5.5,5.5,41.0,14.0,27.0,27.0
IRQ,Iraq,MIDDLE EAST,2007,4.0,4.0,28.0,15.0,13.0,13.0
ISL,Iceland,EUROPE,2007,13.0,13.0,180.0,120.0,60.0,60.0
ISR,Israel,MIDDLE EAST,2018,13.0,13.0,158.0,104.0,54.0,54.0
ITA,Italy,EUROPE,2007,13.0,13.0,189.0,128.0,61.0,61.0
JAM,Jamaica,CARIBBEAN,2018,6.0,6.0,85.0,57.0,28.0,28.0
JOR,Jordan,MIDDLE EAST,2018,7.0,7.0,50.0,21.0,29.0,29.0
JPN,Japan,ASIA,2018,18.0,18.0,192.0,128.0,64.0,64.0
KAZ,Kazakhstan,ASIA,2007,9.5,9.5,74.0,28.0,46.0,46.0
KEN,Kenya,AFRICA,2007,6.0,6.0,72.0,46.0,26.0,26.0
KGZ,Kyrgyzstan,ASIA,2007,8.0,8.0,62.0,28.0,34.0,34.0
KHM,Cambodia,ASIA,2007,6.0,6.0,53.0,17.0,36.0,36.0
KIR,Kiribati,OCEANIA,2017,30.0,30.0,123.0,49.0,74.0,74.0
KNA,St. Kitts and Nevis,CARIBBEAN,2009,18.5,18.5,157.0,62.0,95.0,95.0
KOR,South Korea,ASIA,2018,18.0,18.0,190.0,115.0,75.0,75.0
KOS,Kosovo,EUROPE,2010,37.0,37.0,40.0,0.0,40.0,40.0
KWT,Kuwait,MIDDLE EAST,2018,13.0,13.0,95.0,39.0,56.0,56.0
LAO,Laos,ASIA,2007,6.5,6.5,49.0,20.0,29.0,29.0
LBN,Lebanon,MIDDLE EAST,2007,5.0,5.0,41.0,17.0,24.0,24.0
LBR,Liberia,AFRICA,2015,-11.0,11.0,49.0,31.0,18.0,18.0
LBY,Libya,AFRICA,2018,8.0,8.0,40.0,19.0,21.0,21.0
LCA,St. Lucia,CARIBBEAN,2015,23.0,23.0,146.0,63.0,83.0,83.0
LIE,Liechtenstein,EUROPE,2018,13.0,13.0,178.0,116.0,62.0,62.0
LKA,Sri Lanka,ASIA,2007,5.5,5.5,41.0,22.0,19.0,19.0
LSO,Lesotho,AFRICA,2018,7.0,7.0,77.0,51.0,26.0,26.0
LTU,Lithuania,EUROPE,2007,15.5,15.5,182.0,94.0,88.0,88.0
LUX,Luxembourg,EUROPE,2007,14.5,14.5,189.0,125.0,64.0,64.0
LVA,Latvia,EUROPE,2007,18.0,18.0,181.0,91.0,90.0,90.0
MAC,Macao (SAR China),ASIA,2018,17.0,17.0,144.0,71.0,73.0,73.0
MAR,Morocco,AFRICA,2007,6.0,6.0,63.0,30.0,33.0,33.0
MCO,Monaco,EUROPE,2018,14.0,14.0,174.0,108.0,66.0,66.0
MDA,Moldova,EUROPE,2013,59.0,59.0,120.0,0.0,120.0,120.0
MDG,Madagascar,AFRICA,2007,7.0,7.0,55.0,25.0,30.0,30.0
MDV,Maldives,ASIA,2007,9.0,9.0,87.0,46.0,41.0,41.0
MEX,Mexico,AMERICAS,2018,16.0,16.0,158.0,98.0,60.0,60.0
MHL,Marshall Islands,OCEANIA,2017,33.0,33.0,122.0,36.0,86.0,86.0
MKD,North Macedonia,EUROPE,2018,125.0,125.0,125.0,0.0,125.0,125.0
MLI,Mali,AFRICA,2007,4.5,4.5,54.0,38.0,16.0,16.0
MLT,Malta,EUROPE,2018,16.0,16.0,185.0,115.0,70.0,70.0
MMR,Myanmar,ASIA,2018,7.0,7.0,46.0,15.0,31.0,31.0
MNE,Montenegro,EUROPE,2010,86.0,86.0,123.0,0.0,123.0,123.0
MNG,Mongolia,ASIA,2007,7.5,7.5,61.0,24.0,37.0,37.0
MOZ,Mozambique,AFRICA,2007,7.5,7.5,62.0,22.0,40.0,40.0
MRT,Mauritania,AFRICA,2007,5.0,5.0,59.0,39.0,20.0,20.0
MUS,Mauritius,AFRICA,2009,22.0,22.0,146.0,52.0,94.0,94.0
MWI,Malawi,AFRICA,2007,6.0,6.0,73.0,48.0,25.0,25.0
MYS,Malaysia,ASIA,2018,16.0,16.0,179.0,120.0,59.0,59.0
NAM,Namibia,AFRICA,2007,8.5,8.5,78.0,41.0,37.0,37.0
NER,Niger,AFRICA,2007,5.0,5.0,53.0,37.0,16.0,16.0
NGA,Nigeria,AFRICA,2007,5.0,5.0,45.0,35.0,10.0,10.0
NIC,Nicaragua,AMERICAS,2018,16.0,16.0,126.0,75.0,51.0,51.0
NLD,Netherlands,EUROPE,2007,14.0,14.0,187.0,126.0,61.0,61.0
NOR,Norway,EUROPE,2007,13.0,13.0,185.0,127.0,58.0,58.0
NPL,Nepal,ASIA,2007,6.0,6.0,37.0,20.0,17.0,17.0
NRU,Nauru,OCEANIA,2007,10.0,10.0,89.0,44.0,45.0,45.0
NZL,New Zealand,OCEANIA,2007,12.5,12.5,186.0,125.0,61.0,61.0
OMN,Oman,MIDDLE EAST,2018,9.0,9.0,80.0,36.0,44.0,44.0
PAK,Pakistan,ASIA,2009,5.5,5.5,31.0,17.0,14.0,14.0
PAN,Panama,AMERICAS,2018,14.0,14.0,141.0,82.0,59.0,59.0
PER,Peru,AMERICAS,2017,32.0,32.0,134.0,41.0,93.0,93.0
PHL,Philippines,ASIA,2007,8.5,8.5,65.0,33.0,32.0,32.0
PLW,Palau Islands,OCEANIA,2018,119.0,119.0,119.0,0.0,119.0,119.0
PNG,Papua New Guinea,OCEANIA,2007,9.0,9.0,82.0,41.0,41.0,41.0
POL,Poland,EUROPE,2007,13.0,13.0,182.0,106.0,76.0,76.0
PRK,North Korea,ASIA,2007,5.5,5.5,39.0,18.0,21.0,21.0
PRT,Portugal,EUROPE,2007,16.5,16.5,187.0,123.0,64.0,64.0
PRY,Paraguay,AMERICAS,2018,15.0,15.0,141.0,82.0,59.0,59.0
PSE,Palestinian Territory,MIDDLE EAST,2011,33.0,33.0,37.0,0.0,37.0,37.0
QAT,Qatar,MIDDLE EAST,2018,9.0,9.0,97.0,37.0,60.0,60.0
ROU,Romania,EUROPE,2007,21.0,21.0,174.0,73.0,101.0,101.0
RUS,Russian Federation,EUROPE,2018,13.0,13.0,118.0,35.0,83.0,83.0
RWA,Rwanda,AFRICA,2007,5.5,5.5,61.0,23.0,38.0,38.0
SAU,Saudi Arabia,MIDDLE EAST,2009,7.5,7.5,79.0,31.0,48.0,48.0
